MIASTO;Region;KOD;KIER;ULICA;P_OD;P_DO;N_OD;N_DO;POD;NOD
CHYLICZKI;MAZOWIECKIE;05-500;022;;;;;;     0 ;     0 
CHYN”W;MAZOWIECKIE;05-650;048;;;;;;     0 ;     0 
CHYN”W;MAZOWIECKIE;05-650;048;;;;;;     0 ;     0 
CHYN”W K GR”JCA;MAZOWIECKIE;05-650;048;;;;;;     0 ;     0 
CIACHCIN;MAZOWIECKIE;09-422;024;;;;;;     0 ;     0 
CICHAWY;MAZOWIECKIE;06-440;023;;;;;;     0 ;     0 
CICHOWO;MAZOWIECKIE;06-317;023;;;;;;     0 ;     0 
CIEB£OWICE DUØE;MAZOWIECKIE;26-800;048;;;;;;     0 ;     0 
CIECHAN”W;MAZOWIECKIE;06-409;023;;;;;;     0 ;     0 
CIECHAN”W;MAZOWIECKIE;06-402;023;;;;;;     0 ;     0 
CIECHAN”W;MAZOWIECKIE;06-401;023;;;;;;     0 ;     0 
CIECHAN”W;MAZOWIECKIE;06-400;023;;;;;;     0 ;     0 
CIECHAN”W;MAZOWIECKIE;06-410;023;;;;;;     0 ;     0 
CIECHAN”W;MAZOWIECKIE;06-413;023;;;;;;     0 ;     0 
CIECHLIN;MAZOWIECKIE;05-652;048;;;;;;     0 ;     0 
CIECHOSTOWICE;MAZOWIECKIE;26-500;048;;;;;;     0 ;     0 
CIECHOWSZCZYZNA;MAZOWIECKIE;05-082;022;;;;;;     0 ;     0 
CIECIER”WKA;MAZOWIECKIE;27-353;048;;;;;;     0 ;     0 
CIECI”RKI;MAZOWIECKIE;09-100;023;;;;;;     0 ;     0 
CIECISZEW;MAZOWIECKIE;05-507;022;;;;;;     0 ;     0 
CIEKSYN;MAZOWIECKIE;09-132;023;;;;;;     0 ;     0 
CIEKSYN K NASIELSKA;MAZOWIECKIE;05-192;022;;;;;;     0 ;     0 
CIELEM C;MAZOWIECKIE;08-142;025;;;;;;     0 ;     0 
CIEMNE;MAZOWIECKIE;05-250;022;;;;;;     0 ;     0 
CIEMNIEWKO;MAZOWIECKIE;06-421;023;;;;;;     0 ;     0 
CIEMNIEWO;MAZOWIECKIE;09-110;023;;;;;;     0 ;     0 
CIE—SZA;MAZOWIECKIE;07-214;029;;;;;;     0 ;     0 
CIEPIELEWO;MAZOWIECKIE;06-220;023;;;;;;     0 ;     0 
CIEPIEL”W;MAZOWIECKIE;27-310;048;;;;;;     0 ;     0 
CIEP£A;MAZOWIECKIE;26-504;048;;;;;;     0 ;     0 
CIERPI TA;MAZOWIECKIE;07-111;025;;;;;;     0 ;     0 
CIERPI TA;MAZOWIECKIE;06-335;023;;;;;;     0 ;     0 
CIERPIG”RZ;MAZOWIECKIE;09-300;023;;;;;;     0 ;     0 
CIESZKI;MAZOWIECKIE;09-316;023;;;;;;     0 ;     0 
CIEåLE;MAZOWIECKIE;09-470;024;;;;;;     0 ;     0 
CIEåLIN;MAZOWIECKIE;09-215;024;;;;;;     0 ;     0 
CIOSNY;MAZOWIECKIE;97-171;046;;;;;;     0 ;     0 
CIOSNY MACIEJOWICE K GARWOLINA;MAZOWIECKIE;08-480;025;;;;;;     0 ;     0 
CI”£KOWO;MAZOWIECKIE;09-451;024;;;;;;     0 ;     0 
CI”£KOWO MA£E;MAZOWIECKIE;07-215;029;;;;;;     0 ;     0 
CI”£KOWO RZ•DOWE;MAZOWIECKIE;07-215;029;;;;;;     0 ;     0 
CISIE;MAZOWIECKIE;05-319;025;;;;;;     0 ;     0 
CISK;MAZOWIECKIE;07-440;029;;;;;;     0 ;     0 
CISKI;MAZOWIECKIE;07-217;029;;;;;;     0 ;     0 
CISOWE;MAZOWIECKIE;05-156;022;;;;;;     0 ;     0 
CIS”WKA;MAZOWIECKIE;05-305;025;;;;;;     0 ;     0 
CISSE;MAZOWIECKIE;09-227;024;;;;;;     0 ;     0 
CISZYCA;MAZOWIECKIE;05-510;022;;;;;;     0 ;     0 
CIU∆KOWO;MAZOWIECKIE;09-460;024;;;;;;     0 ;     0 
CONIEW;MAZOWIECKIE;05-530;022;;;;;;     0 ;     0 
CUDN”W;MAZOWIECKIE;26-633;048;;;;;;     0 ;     0 
CUKR”WKA;MAZOWIECKIE;26-510;048;;;;;;     0 ;     0 
CYBULICE DUØE;MAZOWIECKIE;05-152;022;;;;;;     0 ;     0 
CYBULICE MA£E;MAZOWIECKIE;05-152;022;;;;;;     0 ;     0 
CYCHROWSKA WOLA;MAZOWIECKIE;26-913;048;;;;;;     0 ;     0 
CYGANKA;MAZOWIECKIE;05-300;025;;;;;;     0 ;     0 
CYGAN”WKA;MAZOWIECKIE;08-470;025;;;;;;     0 ;     0 
CYGANY;MAZOWIECKIE;07-213;029;;;;;;     0 ;     0 
CYG”W;MAZOWIECKIE;05-326;025;;;;;;     0 ;     0 
CYK;MAZOWIECKIE;07-431;029;;;;;;     0 ;     0 
CYPRIANY;MAZOWIECKIE;96-514;046;;;;;;     0 ;     0 
CZACH”WEK;MAZOWIECKIE;05-533;022;;;;;;     0 ;     0 
CZACHY;MAZOWIECKIE;08-113;025;;;;;;     0 ;     0 
CZAJK”W;MAZOWIECKIE;08-117;025;;;;;;     0 ;     0 
CZAPLE G”RNE;MAZOWIECKIE;08-108;025;;;;;;     0 ;     0 
CZAPLICE B•KI;MAZOWIECKIE;06-317;023;;;;;;     0 ;     0 
CZAPLICE WIELKIE;MAZOWIECKIE;06-317;023;;;;;;     0 ;     0 
CZAPLINEK;MAZOWIECKIE;05-533;022;;;;;;     0 ;     0 
CZARNA;MAZOWIECKIE;05-304;025;;;;;;     0 ;     0 
CZARNA;MAZOWIECKIE;26-633;048;;;;;;     0 ;     0 
CZARNIA;MAZOWIECKIE;07-437;029;;;;;;     0 ;     0 
CZARNIA;MAZOWIECKIE;07-431;029;;;;;;     0 ;     0 
CZARNIA K MYSZY—CA;MAZOWIECKIE;07-431;029;;;;;;     0 ;     0 
CZARNOCIN;MAZOWIECKIE;06-458;023;;;;;;     0 ;     0 
CZARNOCIN;MAZOWIECKIE;26-807;048;;;;;;     0 ;     0 
CZARNOCINEK;MAZOWIECKIE;06-458;023;;;;;;     0 ;     0 
CZARNOG£”W;MAZOWIECKIE;05-307;025;;;;;;     0 ;     0 
CZARNOLAS;MAZOWIECKIE;27-323;048;;;;;;     0 ;     0 
CZARNOLAS K KOZIENIC;MAZOWIECKIE;26-908;048;;;;;;     0 ;     0 
CZARNOST”W;MAZOWIECKIE;06-423;023;;;;;;     0 ;     0 
CZARNOTRZEW;MAZOWIECKIE;06-320;023;;;;;;     0 ;     0 
CZARNOTY;MAZOWIECKIE;09-120;023;;;;;;     0 ;     0 
CZARNOWIEC;MAZOWIECKIE;07-411;029;;;;;;     0 ;     0 
CZARNOWO;MAZOWIECKIE;05-180;022;;;;;;     0 ;     0 
CZARNOWO;MAZOWIECKIE;07-440;029;;;;;;     0 ;     0 
CZARN”W;MAZOWIECKIE;05-510;022;;;;;;     0 ;     0 
CZARN”W;MAZOWIECKIE;05-084;022;;;;;;     0 ;     0 
CZARNY LAS;MAZOWIECKIE;05-825;022;;;;;;     0 ;     0 
CZARNY £UG;MAZOWIECKIE;26-621;048;;;;;;     0 ;     0 
CZ•STK”W POLSKI;MAZOWIECKIE;05-152;022;;;;;;     0 ;     0 
CZEBERAKI KORNICA;MAZOWIECKIE;08-205;083;;;;;;     0 ;     0 
CZECHOWICE;MAZOWIECKIE;97-146;046;;;;;;     0 ;     0 
CZECHY;MAZOWIECKIE;08-406;025;;;;;;     0 ;     0 
CZEKAN”W;MAZOWIECKIE;08-304;025;;;;;;     0 ;     0 
CZEPIELIN;MAZOWIECKIE;08-104;025;;;;;;     0 ;     0 
CZERMNO;MAZOWIECKIE;09-228;024;;;;;;     0 ;     0 
CZERMNO;MAZOWIECKIE;09-530;024;;;;;;     0 ;     0 
CZERNIAK”W;MAZOWIECKIE;00-900;022;;;;;;     0 ;     0 
CZERNIC;MAZOWIECKIE;08-454;025;;;;;;     0 ;     0 
CZERNICE BOROWE;MAZOWIECKIE;06-415;023;;;;;;     0 ;     0 
CZERNID£A;MAZOWIECKIE;05-510;022;;;;;;     0 ;     0 
CZERNIE;MAZOWIECKIE;07-440;029;;;;;;     0 ;     0 
CZERNIEJEW;MAZOWIECKIE;08-114;025;;;;;;     0 ;     0 
CZERSK;MAZOWIECKIE;05-530;022;;;;;;     0 ;     0 
CZERWIN;MAZOWIECKIE;07-407;029;;;;;;     0 ;     0 
CZERWI—SK N WIS£•;MAZOWIECKIE;09-150;023;;;;;;     0 ;     0 
CZERWI—SK N WIS£•;MAZOWIECKIE;09-445;024;;;;;;     0 ;     0 
CZERWONA NIWA;MAZOWIECKIE;96-317;042;;;;;;     0 ;     0 
CZERWONKA;MAZOWIECKIE;97-146;046;;;;;;     0 ;     0 
CZERWONKA;MAZOWIECKIE;07-425;029;;;;;;     0 ;     0 
CZERWONKA;MAZOWIECKIE;08-313;025;;;;;;     0 ;     0 
CZERWONKA;MAZOWIECKIE;07-112;025;;;;;;     0 ;     0 
CZERWONKA K MAKOWA MAZOWIECKIEGO;MAZOWIECKIE;06-232;023;;;;;;     0 ;     0 
CZERWONKA LIWSKA;MAZOWIECKIE;07-112;025;;;;;;     0 ;     0 
CZERWONKA PARCELE;MAZOWIECKIE;96-500;046;;;;;;     0 ;     0 
CZERWONKA SZLACHECKA;MAZOWIECKIE;07-425;029;;;;;;     0 ;     0 
CZERWONKA W£OåCIA—SKA;MAZOWIECKIE;07-425;029;;;;;;     0 ;     0 
CZ£EK”WKA;MAZOWIECKIE;05-340;025;;;;;;     0 ;     0 
CZO£OMYJE;MAZOWIECKIE;08-140;025;;;;;;     0 ;     0 
CZOSN”W;MAZOWIECKIE;05-152;022;;;;;;     0 ;     0 
CZUCHLEBY;MAZOWIECKIE;08-200;057;;;;;;     0 ;     0 
CZUCH”W;MAZOWIECKIE;08-210;057;;;;;;     0 ;     0 
CZURY£Y;MAZOWIECKIE;08-142;025;;;;;;     0 ;     0 
CZYSTE;MAZOWIECKIE;00-900;022;;;;;;     0 ;     0 
CZYØEW;MAZOWIECKIE;09-540;024;;;;;;     0 ;     0 
∆MISZEW;MAZOWIECKIE;96-514;046;;;;;;     0 ;     0 
∆WIKLIN;MAZOWIECKIE;09-100;023;;;;;;     0 ;     0 
DALEKIE;MAZOWIECKIE;07-211;029;;;;;;     0 ;     0 
DALTROZ”W;MAZOWIECKIE;26-803;048;;;;;;     0 ;     0 
DAMIAN”W;MAZOWIECKIE;08-453;025;;;;;;     0 ;     0 
DAMI TY;MAZOWIECKIE;07-440;029;;;;;;     0 ;     0 
DANI£”WKA PIERWSZA;MAZOWIECKIE;07-320;029;;;;;;     0 ;     0 
DANISZEWO;MAZOWIECKIE;07-411;029;;;;;;     0 ;     0 
DANISZEWO;MAZOWIECKIE;09-454;024;;;;;;     0 ;     0 
DA—K”W;MAZOWIECKIE;05-620;048;;;;;;     0 ;     0 
DAWIA;MAZOWIECKIE;07-436;029;;;;;;     0 ;     0 
DAWIDY;MAZOWIECKIE;05-090;022;;;;;;     0 ;     0 
D•BEK;MAZOWIECKIE;06-561;023;;;;;;     0 ;     0 
D•BEK;MAZOWIECKIE;07-405;029;;;;;;     0 ;     0 
D•BROWA;MAZOWIECKIE;09-300;023;;;;;;     0 ;     0 
D•BROWA;MAZOWIECKIE;06-317;023;;;;;;     0 ;     0 
D•BROWA;MAZOWIECKIE;05-092;022;;;;;;     0 ;     0 
D•BROWA;MAZOWIECKIE;08-450;025;;;;;;     0 ;     0 
D•BROWA;MAZOWIECKIE;05-320;025;;;;;;     0 ;     0 
D•BROWA;MAZOWIECKIE;07-113;025;;;;;;     0 ;     0 
D•BROWA;MAZOWIECKIE;06-456;023;;;;;;     0 ;     0 
D•BROWA;MAZOWIECKIE;05-645;048;;;;;;     0 ;     0 
D•BROWA;MAZOWIECKIE;06-130;023;;;;;;     0 ;     0 
D•BROWA;MAZOWIECKIE;06-327;023;;;;;;     0 ;     0 
D•BROWA;MAZOWIECKIE;27-310;048;;;;;;     0 ;     0 
D•BROWA;MAZOWIECKIE;07-305;029;;;;;;     0 ;     0 
D•BROWA CHOTOMOWSKA;MAZOWIECKIE;05-123;022;;;;;;     0 ;     0 
D•BROWA K M£AWY;MAZOWIECKIE;06-522;023;;;;;;     0 ;     0 
D•BROWA N PILIC•;MAZOWIECKIE;26-425;048;;;;;;     0 ;     0 
D•BROWICA;MAZOWIECKIE;07-150;025;;;;;;     0 ;     0 
D•BROWICE;MAZOWIECKIE;09-316;023;;;;;;     0 ;     0 
D•BR”WKA;MAZOWIECKIE;05-824;022;;;;;;     0 ;     0 
D•BR”WKA;MAZOWIECKIE;27-300;048;;;;;;     0 ;     0 
D•BR”WKA;MAZOWIECKIE;06-230;023;;;;;;     0 ;     0 
D•BR”WKA;MAZOWIECKIE;09-514;024;;;;;;     0 ;     0 
D•BR”WKA;MAZOWIECKIE;26-410;048;;;;;;     0 ;     0 
D•BR”WKA;MAZOWIECKIE;07-425;029;;;;;;     0 ;     0 
D•BR”WKA;MAZOWIECKIE;05-152;022;;;;;;     0 ;     0 
D•BR”WKA;MAZOWIECKIE;05-252;022;;;;;;     0 ;     0 
D•BR”WKA GRZYBOWSKA;MAZOWIECKIE;00-900;022;;;;;;     0 ;     0 
D•BR”WKA K OSTRO£ KI;MAZOWIECKIE;07-403;029;;;;;;     0 ;     0 
D•BR”WKA K RADZYMINA;MAZOWIECKIE;05-252;022;;;;;;     0 ;     0 
D•BR”WKA £UG;MAZOWIECKIE;08-114;025;;;;;;     0 ;     0 
D•BR”WKA NIWKA;MAZOWIECKIE;08-114;025;;;;;;     0 ;     0 
D•BR”WKA POD£ ØNA JEDLI—SK;MAZOWIECKIE;26-660;048;;;;;;     0 ;     0 
D•BR”WKA STANY;MAZOWIECKIE;08-114;025;;;;;;     0 ;     0 
D•BR”WKA SZLACHECKA;MAZOWIECKIE;00-900;022;;;;;;     0 ;     0 
D•BR”WKA WARSZAWSKA;MAZOWIECKIE;26-682;048;;;;;;     0 ;     0 
D•BR”WKA ZAB£OTNIA;MAZOWIECKIE;26-682;048;;;;;;     0 ;     0 
D•BR”WKI;MAZOWIECKIE;26-900;048;;;;;;     0 ;     0 
D•BR”WKI;MAZOWIECKIE;09-200;024;;;;;;     0 ;     0 
D•BR”WKI;MAZOWIECKIE;09-320;023;;;;;;     0 ;     0 
D BE;MAZOWIECKIE;08-330;025;;;;;;     0 ;     0 
D BE;MAZOWIECKIE;05-140;022;;;;;;     0 ;     0 
D BE;MAZOWIECKIE;07-161;025;;;;;;     0 ;     0 
D BE MA£E;MAZOWIECKIE;07-161;025;;;;;;     0 ;     0 
D BE WIELKIE;MAZOWIECKIE;05-311;025;;;;;;     0 ;     0 
D BIENICA;MAZOWIECKIE;07-211;029;;;;;;     0 ;     0 
D BINA;MAZOWIECKIE;05-152;022;;;;;;     0 ;     0 
D BINKI;MAZOWIECKIE;07-230;029;;;;;;     0 ;     0 
D BINKI;MAZOWIECKIE;06-130;023;;;;;;     0 ;     0 
D BINY;MAZOWIECKIE;26-413;048;;;;;;     0 ;     0 
D BINY;MAZOWIECKIE;06-300;029;;;;;;     0 ;     0 
D BLIN;MAZOWIECKIE;05-530;022;;;;;;     0 ;     0 
D BNIAK;MAZOWIECKIE;97-170;046;;;;;;     0 ;     0 
D BNICA;MAZOWIECKIE;26-713;048;;;;;;     0 ;     0 
D BNOWOLA;MAZOWIECKIE;26-813;048;;;;;;     0 ;     0 
D BNOWOLA;MAZOWIECKIE;05-660;048;;;;;;     0 ;     0 
D BOWA G”RA;MAZOWIECKIE;26-425;048;;;;;;     0 ;     0 
D BOWCE;MAZOWIECKIE;05-317;025;;;;;;     0 ;     0 
D BOWOLA;MAZOWIECKIE;26-912;048;;;;;;     0 ;     0 
D B”WKA;MAZOWIECKIE;05-870;022;;;;;;     0 ;     0 
D B”WKA;MAZOWIECKIE;96-516;046;;;;;;     0 ;     0 
D BSK;MAZOWIECKIE;09-300;023;;;;;;     0 ;     0 
D BSK;MAZOWIECKIE;09-230;024;;;;;;     0 ;     0 
D BSK;MAZOWIECKIE;06-515;023;;;;;;     0 ;     0 
D BSK K M£AWY;MAZOWIECKIE;06-515;023;;;;;;     0 ;     0 
D BSK NOWY;MAZOWIECKIE;96-513;046;;;;;;     0 ;     0 
D BSK STARY;MAZOWIECKIE;96-513;046;;;;;;     0 ;     0 
D BY;MAZOWIECKIE;07-437;029;;;;;;     0 ;     0 
D£UGA BRZEZINA;MAZOWIECKIE;26-400;048;;;;;;     0 ;     0 
D£UGA KOåCIELNA;MAZOWIECKIE;05-074;022;;;;;;     0 ;     0 
D£UGA SZLACHECKA;MAZOWIECKIE;05-070;022;;;;;;     0 ;     0 
D£UGI K•T;MAZOWIECKIE;07-402;029;;;;;;     0 ;     0 
D£UGIE;MAZOWIECKIE;97-140;046;;;;;;     0 ;     0 
D£UGIE;MAZOWIECKIE;07-431;029;;;;;;     0 ;     0 
D£UGIE KAMIE—SKIE;MAZOWIECKIE;08-322;025;;;;;;     0 ;     0 
D£UGOK•TY;MAZOWIECKIE;06-513;023;;;;;;     0 ;     0 
D£UGO£ KA WIELKA;MAZOWIECKIE;06-407;023;;;;;;     0 ;     0 
D£UGOSIOD£O;MAZOWIECKIE;07-210;029;;;;;;     0 ;     0 
D£UGOWOLA;MAZOWIECKIE;27-304;048;;;;;;     0 ;     0 
D£UGOWOLA;MAZOWIECKIE;05-610;048;;;;;;     0 ;     0 
D£UT”WKA;MAZOWIECKIE;06-325;023;;;;;;     0 ;     0 
D£UØEW;MAZOWIECKIE;05-332;025;;;;;;     0 ;     0 
D£UØNIEWO;MAZOWIECKIE;09-104;023;;;;;;     0 ;     0 
DMOCHY ROGALE;MAZOWIECKIE;08-312;025;;;;;;     0 ;     0 
DOBCZYN;MAZOWIECKIE;05-205;022;;;;;;     0 ;     0 
DOBIESZ;MAZOWIECKIE;05-533;022;;;;;;     0 ;     0 
DOBIESZYN;MAZOWIECKIE;26-816;048;;;;;;     0 ;     0 
DOBRA;MAZOWIECKIE;09-454;024;;;;;;     0 ;     0 
DOBRE;MAZOWIECKIE;05-310;025;;;;;;     0 ;     0 
DOBRE K MI—SKA MAZOWIECKIEGO;MAZOWIECKIE;05-307;025;;;;;;     0 ;     0 
DOBRE STARE;MAZOWIECKIE;05-310;025;;;;;;     0 ;     0 
DOBROGOSTY;MAZOWIECKIE;06-520;023;;;;;;     0 ;     0 
DOBRO£ KA;MAZOWIECKIE;07-415;029;;;;;;     0 ;     0 
DOBR”W;MAZOWIECKIE;09-550;024;;;;;;     0 ;     0 
DOBRSKA FOLWARK;MAZOWIECKIE;09-166;023;;;;;;     0 ;     0 
DOBRSKA KOLONIA;MAZOWIECKIE;09-166;023;;;;;;     0 ;     0 
DOBRUT;MAZOWIECKIE;26-681;048;;;;;;     0 ;     0 
DOBRZANKOWO;MAZOWIECKIE;06-311;023;;;;;;     0 ;     0 
DOBRZENICA;MAZOWIECKIE;05-540;022;;;;;;     0 ;     0 
DOBRZENICE MA£E;MAZOWIECKIE;09-214;024;;;;;;     0 ;     0 
DOBRZYK”W;MAZOWIECKIE;09-522;024;;;;;;     0 ;     0 
DOBRZYNIEC;MAZOWIECKIE;05-340;025;;;;;;     0 ;     0 
DOMANICE;MAZOWIECKIE;08-113;025;;;;;;     0 ;     0 
DOMANIEW;MAZOWIECKIE;05-840;022;;;;;;     0 ;     0 
DOMANIEWICE;MAZOWIECKIE;26-803;048;;;;;;     0 ;     0 
DOMANI”W;MAZOWIECKIE;26-650;048;;;;;;     0 ;     0 
DOMASZEW;MAZOWIECKIE;08-471;025;;;;;;     0 ;     0 
DOMASZNO;MAZOWIECKIE;26-410;048;;;;;;     0 ;     0 
DOMOS£AW;MAZOWIECKIE;06-120;023;;;;;;     0 ;     0 
DOZINY;MAZOWIECKIE;06-550;023;;;;;;     0 ;     0 
DRAGANIE;MAZOWIECKIE;09-411;024;;;;;;     0 ;     0 
DRAØNIEW;MAZOWIECKIE;08-108;025;;;;;;     0 ;     0 
DR•ØDØEWO;MAZOWIECKIE;06-214;023;;;;;;     0 ;     0 
DR•ØDØEWO KUJAWY;MAZOWIECKIE;06-214;023;;;;;;     0 ;     0 
DR•ØDØEWO MA£E;MAZOWIECKIE;06-214;023;;;;;;     0 ;     0 
DR•ØNO;MAZOWIECKIE;26-415;048;;;;;;     0 ;     0 
DREGLIN;MAZOWIECKIE;06-450;023;;;;;;     0 ;     0 
DREWNICA;MAZOWIECKIE;05-091;022;;;;;;     0 ;     0 
DREWNO;MAZOWIECKIE;07-325;029;;;;;;     0 ;     0 
DR SZEW;MAZOWIECKIE;05-252;022;;;;;;     0 ;     0 
DR ØEK;MAZOWIECKIE;07-430;029;;;;;;     0 ;     0 
DR ØEWO;MAZOWIECKIE;07-415;029;;;;;;     0 ;     0 
DRGICZ STOCZEK K MA£KINI;MAZOWIECKIE;07-104;025;;;;;;     0 ;     0 
DROBIN;MAZOWIECKIE;09-210;024;;;;;;     0 ;     0 
DROBIN PIERWSZY;MAZOWIECKIE;09-210;024;;;;;;     0 ;     0 
DROCHOWO;MAZOWIECKIE;09-152;023;;;;;;     0 ;     0 
DROGISZKA;MAZOWIECKIE;06-458;023;;;;;;     0 ;     0 
DROGOSZEWO;MAZOWIECKIE;07-200;029;;;;;;     0 ;     0 
DROP;MAZOWIECKIE;05-307;025;;;;;;     0 ;     0 
DROZDOWO;MAZOWIECKIE;06-225;023;;;;;;     0 ;     0 
DROZDOWO;MAZOWIECKIE;09-166;023;;;;;;     0 ;     0 
DROZDOWO NOWE;MAZOWIECKIE;06-225;023;;;;;;     0 ;     0 
DROØANKI;MAZOWIECKIE;26-634;048;;;;;;     0 ;     0 
DROØDØYN;MAZOWIECKIE;09-121;023;;;;;;     0 ;     0 
DRUPIA;MAZOWIECKIE;08-114;025;;;;;;     0 ;     0 
DRUTARNIA;MAZOWIECKIE;26-400;048;;;;;;     0 ;     0 
DRWALEW;MAZOWIECKIE;05-651;048;;;;;;     0 ;     0 
DRWALEW K GR”JCA;MAZOWIECKIE;05-651;048;;;;;;     0 ;     0 
DRWA£Y;MAZOWIECKIE;07-217;029;;;;;;     0 ;     0 
DRWA£Y;MAZOWIECKIE;09-422;024;;;;;;     0 ;     0 
DRW CZ;MAZOWIECKIE;07-411;029;;;;;;     0 ;     0 
DRYBUS;MAZOWIECKIE;96-314;042;;;;;;     0 ;     0 
DUBICZE;MAZOWIECKIE;08-205;083;;;;;;     0 ;     0 
DUBRAWA;MAZOWIECKIE;27-352;048;;;;;;     0 ;     0 
DUCHNICE;MAZOWIECKIE;05-850;022;;;;;;     0 ;     0 
DUCHN”W;MAZOWIECKIE;05-462;022;;;;;;     0 ;     0 
DUCKA WOLA;MAZOWIECKIE;26-815;048;;;;;;     0 ;     0 
DUCZKI;MAZOWIECKIE;05-200;022;;;;;;     0 ;     0 
DUCZYMIN;MAZOWIECKIE;06-332;023;;;;;;     0 ;     0 
DUDKI;MAZOWIECKIE;08-456;025;;;;;;     0 ;     0 
DUDY PUSZCZA—SKIE;MAZOWIECKIE;07-438;029;;;;;;     0 ;     0 
DUKT;MAZOWIECKIE;06-452;023;;;;;;     0 ;     0 
DUNAJ;MAZOWIECKIE;06-560;023;;;;;;     0 ;     0 
DUNIN”W;MAZOWIECKIE;09-505;024;;;;;;     0 ;     0 
DUNIN”W DUØY;MAZOWIECKIE;09-505;024;;;;;;     0 ;     0 
DURLASY;MAZOWIECKIE;07-402;029;;;;;;     0 ;     0 
DYB”W;MAZOWIECKIE;08-314;025;;;;;;     0 ;     0 
DYB”W KOLONIA;MAZOWIECKIE;05-250;022;;;;;;     0 ;     0 
DYLEWO;MAZOWIECKIE;07-422;029;;;;;;     0 ;     0 
DYNAK;MAZOWIECKIE;06-335;023;;;;;;     0 ;     0 
DYSZOBABA;MAZOWIECKIE;06-230;023;;;;;;     0 ;     0 
DYZIN;MAZOWIECKIE;05-430;022;;;;;;     0 ;     0 
DZB•DZ;MAZOWIECKIE;06-230;023;;;;;;     0 ;     0 
DZBENIN;MAZOWIECKIE;07-400;029;;;;;;     0 ;     0 
DZBONIE;MAZOWIECKIE;06-406;023;;;;;;     0 ;     0 
DZIADKOWSKIE;MAZOWIECKIE;08-206;057;;;;;;     0 ;     0 
DZIA£KI;MAZOWIECKIE;96-315;042;;;;;;     0 ;     0 
DZIA£Y;MAZOWIECKIE;05-252;022;;;;;;     0 ;     0 
DZIARNOWO;MAZOWIECKIE;09-411;024;;;;;;     0 ;     0 
DZIARN”W;MAZOWIECKIE;05-640;048;;;;;;     0 ;     0 
DZIECHCINIEC;MAZOWIECKIE;05-462;022;;;;;;     0 ;     0 
DZIECIN”W;MAZOWIECKIE;08-446;025;;;;;;     0 ;     0 
DZIECZEWO;MAZOWIECKIE;09-135;023;;;;;;     0 ;     0 
DZIEKAN”W LEåNY;MAZOWIECKIE;05-092;022;;;;;;     0 ;     0 
DZIEKAN”W POLSKI;MAZOWIECKIE;05-092;022;;;;;;     0 ;     0 
DZIEKTARZEWO;MAZOWIECKIE;09-105;023;;;;;;     0 ;     0 
DZIEKTARZEWO WYLATY;MAZOWIECKIE;09-105;023;;;;;;     0 ;     0 
DZIEMBAKOWO;MAZOWIECKIE;09-211;024;;;;;;     0 ;     0 
DZIERZ•ZNA;MAZOWIECKIE;09-506;024;;;;;;     0 ;     0 
DZIERZ•ØNIA;MAZOWIECKIE;09-164;023;;;;;;     0 ;     0 
DZIERZBY;MAZOWIECKIE;08-305;025;;;;;;     0 ;     0 
DZIERZBY SZLACHECKIE;MAZOWIECKIE;08-305;025;;;;;;     0 ;     0 
DZIERZBY W£OåCIA—SKIE;MAZOWIECKIE;08-305;025;;;;;;     0 ;     0 
DZIERZ GA NADBORY;MAZOWIECKIE;06-332;023;;;;;;     0 ;     0 
DZIERZGOWO;MAZOWIECKIE;06-520;023;;;;;;     0 ;     0 
DZIERZG”WEK;MAZOWIECKIE;06-520;023;;;;;;     0 ;     0 
DZIERØANOWO;MAZOWIECKIE;06-200;023;;;;;;     0 ;     0 
DZIERØANOWO;MAZOWIECKIE;09-455;024;;;;;;     0 ;     0 
DZIERØENIN;MAZOWIECKIE;06-114;023;;;;;;     0 ;     0 
DZIEWULE;MAZOWIECKIE;08-106;025;;;;;;     0 ;     0 
DZI CIO£Y;MAZOWIECKIE;05-240;022;;;;;;     0 ;     0 
DZI CIO£Y DALSZE;MAZOWIECKIE;08-320;025;;;;;;     0 ;     0 
DZI CIO£Y NOWE;MAZOWIECKIE;08-201;057;;;;;;     0 ;     0 
DZI GIELEWO;MAZOWIECKIE;09-213;024;;;;;;     0 ;     0 
DZIUNIN;MAZOWIECKIE;05-640;048;;;;;;     0 ;     0 
DZIURK”W;MAZOWIECKIE;27-320;048;;;;;;     0 ;     0 
DZIWY;MAZOWIECKIE;09-304;023;;;;;;     0 ;     0 
DZWONEK;MAZOWIECKIE;07-407;029;;;;;;     0 ;     0 
ELØBIET”W;MAZOWIECKIE;96-516;046;;;;;;     0 ;     0 
EMILIAN”WKA;MAZOWIECKIE;08-113;025;;;;;;     0 ;     0 
EMIL”W;MAZOWIECKIE;26-903;048;;;;;;     0 ;     0 
EM”W;MAZOWIECKIE;05-462;022;;;;;;     0 ;     0 
ERMIN”W;MAZOWIECKIE;96-514;046;;;;;;     0 ;     0 
EUGENI”W;MAZOWIECKIE;27-350;048;;;;;;     0 ;     0 
EWELIN;MAZOWIECKIE;08-400;025;;;;;;     0 ;     0 
FALATYCZE;MAZOWIECKIE;08-210;057;;;;;;     0 ;     0 
FALENICA;MAZOWIECKIE;00-900;022;;;;;;     0 ;     0 
FALENTY DUØE;MAZOWIECKIE;05-090;022;;;;;;     0 ;     0 
