MIASTO;Region;KOD POCZTOWY;NR_KIER;ULICA;PARZYSTE_OD;PARZYSTE_DO;NIEPARZYSTE_OD;NIEPARZYSTE_DO;POD;NOD
STARY KROMOLIN;£”DZKIE;98-240;043;;;;;;     0 ;     0 
STARY £AJSZCZEW;£”DZKIE;96-122;042;;;;;;     0 ;     0 
STARY OCH DZYN;£”DZKIE;98-420;062;;;;;;     0 ;     0 
STARY STANIS£AW”W;£”DZKIE;98-135;043;;;;;;     0 ;     0 
STARY WALISZEW;£”DZKIE;99-425;042;;;;;;     0 ;     0 
STARZECHOWICE;£”DZKIE;97-568;044;;;;;;     0 ;     0 
STAW;£”DZKIE;98-310;043;;;;;;     0 ;     0 
STAWEK;£”DZKIE;97-410;044;;;;;;     0 ;     0 
STAWEK;£”DZKIE;98-310;043;;;;;;     0 ;     0 
STAWOWICE;£”DZKIE;26-333;044;;;;;;     0 ;     0 
STEFAN”W;£”DZKIE;26-315;044;;;;;;     0 ;     0 
STEFAN”W;£”DZKIE;96-135;042;;;;;;     0 ;     0 
STEFAN”W;£”DZKIE;97-404;044;;;;;;     0 ;     0 
STEMPLEW;£”DZKIE;99-140;024;;;;;;     0 ;     0 
ST P”W;£”DZKIE;99-412;042;;;;;;     0 ;     0 
STOBIECKO MIEJSKIE;£”DZKIE;97-500;044;;;;;;     0 ;     0 
STOBIECKO SZLACHECKIE;£”DZKIE;97-561;044;;;;;;     0 ;     0 
STOBNICA;£”DZKIE;97-334;044;;;;;;     0 ;     0 
STOBNICA PI£A;£”DZKIE;97-334;044;;;;;;     0 ;     0 
STOCZKI;£”DZKIE;26-342;044;;;;;;     0 ;     0 
STOCZKI;£”DZKIE;98-206;043;;;;;;     0 ;     0 
STOJAN”W;£”DZKIE;98-215;043;;;;;;     0 ;     0 
STOK;£”DZKIE;26-341;044;;;;;;     0 ;     0 
STOLEC;£”DZKIE;98-270;043;;;;;;     0 ;     0 
STOLNIKI;£”DZKIE;96-213;042;;;;;;     0 ;     0 
STRACHAN”W;£”DZKIE;98-215;043;;;;;;     0 ;     0 
STRACH”W;£”DZKIE;99-140;024;;;;;;     0 ;     0 
STRADZEW;£”DZKIE;99-313;024;;;;;;     0 ;     0 
STRASZOWA WOLA;£”DZKIE;26-334;044;;;;;;     0 ;     0 
STRASZ”W;£”DZKIE;97-340;044;;;;;;     0 ;     0 
STROBIN;£”DZKIE;98-313;043;;;;;;     0 ;     0 
STROB”W;£”DZKIE;96-100;042;;;;;;     0 ;     0 
STRONIEWICE;£”DZKIE;99-434;042;;;;;;     0 ;     0 
STRO—SKO;£”DZKIE;98-161;043;;;;;;     0 ;     0 
STR”ØA;£”DZKIE;98-604;062;;;;;;     0 ;     0 
STRUGIENICE;£”DZKIE;99-440;042;;;;;;     0 ;     0 
STRYJE KSI ØE;£”DZKIE;98-103;043;;;;;;     0 ;     0 
STRYK”W K £ODZI;£”DZKIE;95-010;042;;;;;;     0 ;     0 
STRZA£KI;£”DZKIE;98-260;043;;;;;;     0 ;     0 
STRZA£K”W;£”DZKIE;26-333;044;;;;;;     0 ;     0 
STRZA£K”W;£”DZKIE;97-500;044;;;;;;     0 ;     0 
STRZEBIESZEW;£”DZKIE;99-434;042;;;;;;     0 ;     0 
STRZEGOCIN K KUTNA;£”DZKIE;99-315;024;;;;;;     0 ;     0 
STRZELCE;£”DZKIE;26-342;044;;;;;;     0 ;     0 
STRZELCE;£”DZKIE;99-320;024;;;;;;     0 ;     0 
STRZELCE K KUTNA;£”DZKIE;99-307;024;;;;;;     0 ;     0 
STRZELCE MA£E;£”DZKIE;97-515;044;;;;;;     0 ;     0 
STRZELCE WIELKIE;£”DZKIE;98-604;062;;;;;;     0 ;     0 
STRZELCE WIELKIE K PAJ CZNA;£”DZKIE;98-604;062;;;;;;     0 ;     0 
STRZELCEW;£”DZKIE;99-400;042;;;;;;     0 ;     0 
STRZEMESZNA;£”DZKIE;97-216;044;;;;;;     0 ;     0 
STRZYBOGA;£”DZKIE;96-115;042;;;;;;     0 ;     0 
STRZYØEWICE;£”DZKIE;97-400;044;;;;;;     0 ;     0 
STUDZIANEK;£”DZKIE;96-205;042;;;;;;     0 ;     0 
STUDZIANKI;£”DZKIE;96-212;042;;;;;;     0 ;     0 
STUDZIANKI;£”DZKIE;97-216;044;;;;;;     0 ;     0 
STUDZIANKI;£”DZKIE;97-323;044;;;;;;     0 ;     0 
STUDZIANNA;£”DZKIE;26-315;044;;;;;;     0 ;     0 
STUDZIENICA;£”DZKIE;98-358;043;;;;;;     0 ;     0 
STUDZIENIEC;£”DZKIE;97-568;044;;;;;;     0 ;     0 
STUØNO;£”DZKIE;26-305;044;;;;;;     0 ;     0 
SUCHA;£”DZKIE;97-500;044;;;;;;     0 ;     0 
SUCHCICE;£”DZKIE;97-404;044;;;;;;     0 ;     0 
SUCHOCZASY;£”DZKIE;98-220;043;;;;;;     0 ;     0 
SUCHOD BIE;£”DZKIE;99-306;024;;;;;;     0 ;     0 
SUCHOWOLA;£”DZKIE;97-518;044;;;;;;     0 ;     0 
SUDO£Y;£”DZKIE;98-286;043;;;;;;     0 ;     0 
SUDZINEK;£”DZKIE;97-536;044;;;;;;     0 ;     0 
SULBOROWICE;£”DZKIE;26-334;044;;;;;;     0 ;     0 
SULEJ”W;£”DZKIE;97-330;044;;;;;;     0 ;     0 
SULISZEW;£”DZKIE;96-115;042;;;;;;     0 ;     0 
SULMIERZYCE K RADOMSKA;£”DZKIE;98-610;062;;;;;;     0 ;     0 
SULM”W;£”DZKIE;98-215;043;;;;;;     0 ;     0 
SU£K”W;£”DZKIE;97-568;044;;;;;;     0 ;     0 
SW D”W;£”DZKIE;95-010;042;;;;;;     0 ;     0 
SWOBODA;£”DZKIE;98-360;043;;;;;;     0 ;     0 
SWOLSZEWICE DUØE;£”DZKIE;97-323;044;;;;;;     0 ;     0 
SWOLSZEWICE MA£E;£”DZKIE;97-200;044;;;;;;     0 ;     0 
SWORAWA;£”DZKIE;99-200;043;;;;;;     0 ;     0 
SYBERIA;£”DZKIE;96-140;042;;;;;;     0 ;     0 
SYPIE—;£”DZKIE;99-436;042;;;;;;     0 ;     0 
SYSKI;£”DZKIE;26-343;044;;;;;;     0 ;     0 
SZADEK;£”DZKIE;98-103;043;;;;;;     0 ;     0 
SZADEK;£”DZKIE;98-540;062;;;;;;     0 ;     0 
SZADKOWICE;£”DZKIE;98-240;043;;;;;;     0 ;     0 
SZADKOWICE DOLNE;£”DZKIE;98-240;043;;;;;;     0 ;     0 
SZADKOWICE G”RNE;£”DZKIE;98-240;043;;;;;;     0 ;     0 
SZAM”W;£”DZKIE;99-331;024;;;;;;     0 ;     0 
SZAR”W KSI ØY;£”DZKIE;99-211;043;;;;;;     0 ;     0 
SZATONIA;£”DZKIE;95-070;042;;;;;;     0 ;     0 
SZCZAWIN;£”DZKIE;95-002;042;;;;;;     0 ;     0 
SZCZAWNO;£”DZKIE;98-260;043;;;;;;     0 ;     0 
SZCZEPANOWICE;£”DZKIE;97-350;044;;;;;;     0 ;     0 
SZCZEPANY;£”DZKIE;98-355;043;;;;;;     0 ;     0 
SZCZEPOCICE PRYWATNE;£”DZKIE;97-500;044;;;;;;     0 ;     0 
SZCZEPOCICE RZ•DOWE;£”DZKIE;97-500;044;;;;;;     0 ;     0 
SZCZERCOWSKA;£”DZKIE;97-420;044;;;;;;     0 ;     0 
SZCZERC”W;£”DZKIE;97-420;044;;;;;;     0 ;     0 
SZCZUD£”W;£”DZKIE;99-428;042;;;;;;     0 ;     0 
SZCZUKI;£”DZKIE;96-230;042;;;;;;     0 ;     0 
SZCZUKOCICE;£”DZKIE;97-350;044;;;;;;     0 ;     0 
SZCZUKWIN;£”DZKIE;97-315;044;;;;;;     0 ;     0 
SZCZYTY;£”DZKIE;98-355;043;;;;;;     0 ;     0 
SZCZYTY;£”DZKIE;99-200;043;;;;;;     0 ;     0 
SZEWCE NADOLNE;£”DZKIE;99-316;024;;;;;;     0 ;     0 
SZEWCE OWSIANE;£”DZKIE;99-311;024;;;;;;     0 ;     0 
SZEWCE WALENTYNA;£”DZKIE;99-311;024;;;;;;     0 ;     0 
SZKLANA HUTA;£”DZKIE;98-270;043;;;;;;     0 ;     0 
SZUBSK DUØY;£”DZKIE;99-332;024;;;;;;     0 ;     0 
SZWEJKI MA£E;£”DZKIE;96-230;042;;;;;;     0 ;     0 
SZYD£”W;£”DZKIE;97-306;044;;;;;;     0 ;     0 
SZYD£”W;£”DZKIE;98-133;043;;;;;;     0 ;     0 
SZYMANOWICE;£”DZKIE;99-423;042;;;;;;     0 ;     0 
SZYNCZYCE;£”DZKIE;97-318;044;;;;;;     0 ;     0 
SZYNKIELEW;£”DZKIE;95-200;042;;;;;;     0 ;     0 
SZYNKIEL”W;£”DZKIE;98-313;043;;;;;;     0 ;     0 
åCIBOR”W;£”DZKIE;96-140;042;;;;;;     0 ;     0 
åCICHAWA;£”DZKIE;97-415;044;;;;;;     0 ;     0 
åCIEGNY;£”DZKIE;97-360;044;;;;;;     0 ;     0 
åCIEKI;£”DZKIE;96-200;042;;;;;;     0 ;     0 
åCI GNA;£”DZKIE;98-604;062;;;;;;     0 ;     0 
åLADK”W ROZLAZ£Y;£”DZKIE;99-120;024;;;;;;     0 ;     0 
åL•DKOWICE;£”DZKIE;97-430;044;;;;;;     0 ;     0 
åLESZYN DOLNY;£”DZKIE;99-321;024;;;;;;     0 ;     0 
åLESZYN K ØYCHLINA;£”DZKIE;99-321;024;;;;;;     0 ;     0 
åLESZYN MA£Y;£”DZKIE;99-321;024;;;;;;     0 ;     0 
åLESZYN WIELKI;£”DZKIE;99-321;024;;;;;;     0 ;     0 
åWIATONIA;£”DZKIE;99-220;043;;;;;;     0 ;     0 
åWI•TKI;£”DZKIE;98-273;043;;;;;;     0 ;     0 
åWI•TKOWICE;£”DZKIE;98-360;043;;;;;;     0 ;     0 
åWI•TNIKI;£”DZKIE;95-200;042;;;;;;     0 ;     0 
åWI•TNIKI;£”DZKIE;97-320;044;;;;;;     0 ;     0 
åWIECH”W;£”DZKIE;99-322;024;;;;;;     0 ;     0 
åWIERCZ”W;£”DZKIE;98-170;043;;;;;;     0 ;     0 
åWIERYØ DRUGI;£”DZKIE;99-443;042;;;;;;     0 ;     0 
åWIERYØ PIERWSZY;£”DZKIE;99-443;042;;;;;;     0 ;     0 
åWIERZYNY;£”DZKIE;98-161;043;;;;;;     0 ;     0 
åWI TE LASKI;£”DZKIE;96-124;042;;;;;;     0 ;     0 
åWI TE NOWAKI;£”DZKIE;96-124;042;;;;;;     0 ;     0 
åWINICE KALISKIE;£”DZKIE;98-212;043;;;;;;     0 ;     0 
åWINICE WARCKIE;£”DZKIE;99-140;024;;;;;;     0 ;     0 
TARAS;£”DZKIE;97-570;044;;;;;;     0 ;     0 
TARNOWA;£”DZKIE;99-200;043;;;;;;     0 ;     0 
TATAR;£”DZKIE;97-421;044;;;;;;     0 ;     0 
T•ØEWY;£”DZKIE;97-430;044;;;;;;     0 ;     0 
TEKLIN;£”DZKIE;97-351;044;;;;;;     0 ;     0 
TEKLIN”W;£”DZKIE;98-400;062;;;;;;     0 ;     0 
TEODOR”W;£”DZKIE;97-319;044;;;;;;     0 ;     0 
TEODOR”W;£”DZKIE;98-106;043;;;;;;     0 ;     0 
TEODOR”W;£”DZKIE;99-313;024;;;;;;     0 ;     0 
TEODORY;£”DZKIE;98-100;043;;;;;;     0 ;     0 
TEODOZJ”W;£”DZKIE;96-205;042;;;;;;     0 ;     0 
TEODOZJ”W;£”DZKIE;97-216;044;;;;;;     0 ;     0 
TEOFIL”W;£”DZKIE;97-403;044;;;;;;     0 ;     0 
TERENIN;£”DZKIE;95-200;042;;;;;;     0 ;     0 
TERESEW;£”DZKIE;99-412;042;;;;;;     0 ;     0 
TERESIN;£”DZKIE;96-132;042;;;;;;     0 ;     0 
TKACZEWSKA G”RA;£”DZKIE;95-045;042;;;;;;     0 ;     0 
TOBOLICE;£”DZKIE;99-205;043;;;;;;     0 ;     0 
TOMASZ”W;£”DZKIE;26-330;044;;;;;;     0 ;     0 
TOMASZ”W;£”DZKIE;97-524;044;;;;;;     0 ;     0 
TOMASZ”W;£”DZKIE;97-561;044;;;;;;     0 ;     0 
TOMASZ”W MAZOWIECKI;£”DZKIE;97-200;044;;;;;;     0 ;     0 
TOMASZ”W MAZOWIECKI;£”DZKIE;97-201;044;;;;;;     0 ;     0 
TOMASZ”W MAZOWIECKI;£”DZKIE;97-202;044;;;;;;     0 ;     0 
TOMASZ”W MAZOWIECKI;£”DZKIE;97-203;044;;;;;;     0 ;     0 
TOMASZ”W MAZOWIECKI;£”DZKIE;97-204;044;;;;;;     0 ;     0 
TOMASZ”W MAZOWIECKI;£”DZKIE;97-205;044;;;;;;     0 ;     0 
TOMAWA;£”DZKIE;97-334;044;;;;;;     0 ;     0 
TOMCZYKI;£”DZKIE;98-276;043;;;;;;     0 ;     0 
TOMIS£AWICE;£”DZKIE;98-213;043;;;;;;     0 ;     0 
TOPLIN;£”DZKIE;98-346;043;;;;;;     0 ;     0 
TOPOLA;£”DZKIE;99-100;024;;;;;;     0 ;     0 
TOPOLA KATOWA;£”DZKIE;99-100;024;;;;;;     0 ;     0 
TOPOLA KR”LEWSKA;£”DZKIE;99-100;024;;;;;;     0 ;     0 
TOPOLA SZLACHECKA;£”DZKIE;99-100;024;;;;;;     0 ;     0 
TOPOLICE;£”DZKIE;26-330;044;;;;;;     0 ;     0 
TOPOR”W;£”DZKIE;98-336;043;;;;;;     0 ;     0 
TRABY;£”DZKIE;99-423;042;;;;;;     0 ;     0 
TRESTA RZ•DOWA;£”DZKIE;97-213;044;;;;;;     0 ;     0 
TRETKI;£”DZKIE;99-320;024;;;;;;     0 ;     0 
TR BACZEW;£”DZKIE;96-208;042;;;;;;     0 ;     0 
TR BACZEW;£”DZKIE;98-356;043;;;;;;     0 ;     0 
TR BACZEW K DZIA£OSZYNA;£”DZKIE;98-356;043;;;;;;     0 ;     0 
TRUSKAWIEC;£”DZKIE;99-200;043;;;;;;     0 ;     0 
TRZASKOWICE;£”DZKIE;99-423;042;;;;;;     0 ;     0 
TRZ•S;£”DZKIE;97-415;044;;;;;;     0 ;     0 
TRZCIANKA;£”DZKIE;99-420;042;;;;;;     0 ;     0 
TRZCIANNA;£”DZKIE;96-115;042;;;;;;     0 ;     0 
TRZCINIEC;£”DZKIE;99-312;024;;;;;;     0 ;     0 
TRZEBCA;£”DZKIE;98-603;062;;;;;;     0 ;     0 
TRZEBCE;£”DZKIE;97-516;044;;;;;;     0 ;     0 
TRZEPNICA;£”DZKIE;97-351;044;;;;;;     0 ;     0 
TRZEPNICA K GORZKOWIC;£”DZKIE;97-351;044;;;;;;     0 ;     0 
TUB•DZIN;£”DZKIE;98-285;043;;;;;;     0 ;     0 
TUCHA—;£”DZKIE;98-358;043;;;;;;     0 ;     0 
TUM;£”DZKIE;99-100;024;;;;;;     0 ;     0 
TUROBOWICE;£”DZKIE;96-206;042;;;;;;     0 ;     0 
TUROWA WOLA;£”DZKIE;96-111;042;;;;;;     0 ;     0 
TUROWICE;£”DZKIE;97-568;044;;;;;;     0 ;     0 
TUR”W;£”DZKIE;98-300;043;;;;;;     0 ;     0 
TUSZYN;£”DZKIE;95-080;042;;;;;;     0 ;     0 
TWARDA;£”DZKIE;26-345;044;;;;;;     0 ;     0 
TWOROWICA;£”DZKIE;97-513;044;;;;;;     0 ;     0 
TYBLE;£”DZKIE;98-420;062;;;;;;     0 ;     0 
TYCH”W;£”DZKIE;97-318;044;;;;;;     0 ;     0 
TYCZYN;£”DZKIE;98-260;043;;;;;;     0 ;     0 
TYMIANKA;£”DZKIE;95-010;042;;;;;;     0 ;     0 
TYMIENICE;£”DZKIE;98-220;043;;;;;;     0 ;     0 
UCHA— DOLNY;£”DZKIE;99-420;042;;;;;;     0 ;     0 
UCHA— G”RNY;£”DZKIE;99-420;042;;;;;;     0 ;     0 
UJAZD;£”DZKIE;99-205;043;;;;;;     0 ;     0 
UJAZD K TOMASZOWA MAZOWIECKIEGO;£”DZKIE;97-225;044;;;;;;     0 ;     0 
UNEWEL;£”DZKIE;26-345;044;;;;;;     0 ;     0 
UNIEJ”W;£”DZKIE;99-210;043;;;;;;     0 ;     0 
UNIK”W;£”DZKIE;98-270;043;;;;;;     0 ;     0 
URZECZE;£”DZKIE;99-440;042;;;;;;     0 ;     0 
USTK”W;£”DZKIE;98-213;043;;;;;;     0 ;     0 
USZCZYN;£”DZKIE;97-331;044;;;;;;     0 ;     0 
WADLEW;£”DZKIE;97-402;044;;;;;;     0 ;     0 
WALE;£”DZKIE;97-216;044;;;;;;     0 ;     0 
WALEWICE;£”DZKIE;97-424;044;;;;;;     0 ;     0 
WALEWICE;£”DZKIE;99-424;042;;;;;;     0 ;     0 
WALICHNOWY K WIELUNIA;£”DZKIE;98-411;062;;;;;;     0 ;     0 
WALISZEW;£”DZKIE;99-316;024;;;;;;     0 ;     0 
WALISZEW;£”DZKIE;99-425;042;;;;;;     0 ;     0 
WALISZEW DWORSKI;£”DZKIE;99-425;042;;;;;;     0 ;     0 
WALISZEWICE;£”DZKIE;98-212;043;;;;;;     0 ;     0 
WALK”W;£”DZKIE;98-320;043;;;;;;     0 ;     0 
WA£OWICE;£”DZKIE;96-200;042;;;;;;     0 ;     0 
WANDALIN;£”DZKIE;98-270;043;;;;;;     0 ;     0 
WANDZIN;£”DZKIE;98-106;043;;;;;;     0 ;     0 
WARDZY—;£”DZKIE;95-006;042;;;;;;     0 ;     0 
WARSZYCE;£”DZKIE;95-001;042;;;;;;     0 ;     0 
WARTA;£”DZKIE;98-290;043;;;;;;     0 ;     0 
WARTKOWICE;£”DZKIE;99-220;043;;;;;;     0 ;     0 
WARTOS£AW;£”DZKIE;99-340;024;;;;;;     0 ;     0 
WASZKOWSKIE;£”DZKIE;98-260;043;;;;;;     0 ;     0 
WAØNE M£YNY;£”DZKIE;98-603;062;;;;;;     0 ;     0 
W•GLANY;£”DZKIE;26-307;044;;;;;;     0 ;     0 
W•GLIN;£”DZKIE;97-545;044;;;;;;     0 ;     0 
W•G£CZEW;£”DZKIE;98-285;043;;;;;;     0 ;     0 
W•GRY;£”DZKIE;96-135;042;;;;;;     0 ;     0 
WDOWIN;£”DZKIE;97-404;044;;;;;;     0 ;     0 
WEJSCE;£”DZKIE;99-414;042;;;;;;     0 ;     0 
W GLEWICE;£”DZKIE;98-404;062;;;;;;     0 ;     0 
W ØE;£”DZKIE;98-355;043;;;;;;     0 ;     0 
WIADERNO;£”DZKIE;97-200;044;;;;;;     0 ;     0 
WI•CZY— DOLNY;£”DZKIE;90-900;042;;;;;;     0 ;     0 
WI•CZY— G”RNY;£”DZKIE;90-900;042;;;;;;     0 ;     0 
WICHERNIK;£”DZKIE;98-357;043;;;;;;     0 ;     0 
WICHR”W;£”DZKIE;99-142;024;;;;;;     0 ;     0 
WICIE;£”DZKIE;99-415;042;;;;;;     0 ;     0 
WIDAWA;£”DZKIE;98-170;043;;;;;;     0 ;     0 
WIDZEW;£”DZKIE;90-900;042;;;;;;     0 ;     0 
WIECHUCICE;£”DZKIE;98-206;043;;;;;;     0 ;     0 
WIELENIN;£”DZKIE;99-210;043;;;;;;     0 ;     0 
WIELENIN KOLONIA;£”DZKIE;99-210;043;;;;;;     0 ;     0 
WIELGIE;£”DZKIE;98-312;043;;;;;;     0 ;     0 
WIELGIE K WIELUNIA;£”DZKIE;98-312;043;;;;;;     0 ;     0 
WIELGOM£YNY;£”DZKIE;97-525;044;;;;;;     0 ;     0 
WIELKA;£”DZKIE;98-172;043;;;;;;     0 ;     0 
WIELKA;£”DZKIE;98-240;043;;;;;;     0 ;     0 
WIELKA WOLA;£”DZKIE;97-216;044;;;;;;     0 ;     0 
WIELU—;£”DZKIE;98-300;043;;;;;;     0 ;     0 
WIELU—;£”DZKIE;98-305;043;;;;;;     0 ;     0 
WIERUSZ”W;£”DZKIE;98-400;062;;;;;;     0 ;     0 
WIERUSZ”W;£”DZKIE;99-401;042;;;;;;     0 ;     0 
WIERZBICA;£”DZKIE;97-561;044;;;;;;     0 ;     0 
WIERZBIE;£”DZKIE;99-300;024;;;;;;     0 ;     0 
WIERZCHLAS;£”DZKIE;98-324;043;;;;;;     0 ;     0 
WIERZCHOWISKO;£”DZKIE;26-334;044;;;;;;     0 ;     0 
WIERZCHY;£”DZKIE;98-100;043;;;;;;     0 ;     0 
WIERZCHY K SIERADZA;£”DZKIE;99-233;043;;;;;;     0 ;     0 
WIERZEJE;£”DZKIE;97-300;044;;;;;;     0 ;     0 
WIERZNOWICE;£”DZKIE;99-440;042;;;;;;     0 ;     0 
WIESZCZYCE;£”DZKIE;99-307;024;;;;;;     0 ;     0 
WIEWIEC;£”DZKIE;98-604;062;;;;;;     0 ;     0 
WIEWI”RCZYN;£”DZKIE;98-100;043;;;;;;     0 ;     0 
WIEWI”R”W;£”DZKIE;97-505;044;;;;;;     0 ;     0 
WIKTOR”W;£”DZKIE;98-351;043;;;;;;     0 ;     0 
WILAM”W;£”DZKIE;98-240;043;;;;;;     0 ;     0 
WILAN”W;£”DZKIE;95-009;042;;;;;;     0 ;     0 
WILCZKOWICE;£”DZKIE;99-100;024;;;;;;     0 ;     0 
WILCZK”W;£”DZKIE;98-215;043;;;;;;     0 ;     0 
WILCZYCA;£”DZKIE;99-200;043;;;;;;     0 ;     0 
WILKOSZEWICE;£”DZKIE;97-350;044;;;;;;     0 ;     0 
WILKOWIA;£”DZKIE;99-306;024;;;;;;     0 ;     0 
WILKOWICE;£”DZKIE;96-203;042;;;;;;     0 ;     0 
WILKOWICE K RAWY MAZOWIECKIEJ;£”DZKIE;96-203;042;;;;;;     0 ;     0 
WILKOWYJA;£”DZKIE;98-113;043;;;;;;     0 ;     0 
WINCENT”W;£”DZKIE;96-105;042;;;;;;     0 ;     0 
WINCENT”W;£”DZKIE;98-150;043;;;;;;     0 ;     0 
WINCENT”W;£”DZKIE;98-170;043;;;;;;     0 ;     0 
WISKIENICA DOLNA;£”DZKIE;99-440;042;;;;;;     0 ;     0 
WISKIENICA G”RNA;£”DZKIE;99-440;042;;;;;;     0 ;     0 
WISKITNO;£”DZKIE;95-006;042;;;;;;     0 ;     0 
WISTKA;£”DZKIE;98-600;062;;;;;;     0 ;     0 
WIåNIEWO;£”DZKIE;99-412;042;;;;;;     0 ;     0 
WIåNIOWA G”RA;£”DZKIE;95-022;042;;;;;;     0 ;     0 
WITKOWICE;£”DZKIE;96-140;042;;;;;;     0 ;     0 
WITONIA;£”DZKIE;99-335;024;;;;;;     0 ;     0 
WIT”W;£”DZKIE;97-331;044;;;;;;     0 ;     0 
WIT”W;£”DZKIE;98-260;043;;;;;;     0 ;     0 
WIT”W;£”DZKIE;99-333;024;;;;;;     0 ;     0 
WITUSZA;£”DZKIE;99-412;042;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;26-330;044;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;95-045;042;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;95-046;042;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;95-200;042;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;96-134;042;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;96-208;042;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;97-300;044;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;97-319;044;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;97-325;044;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;97-371;044;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;99-140;024;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;99-205;043;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;99-220;043;;;;;;     0 ;     0 
W£ADYS£AW”W;£”DZKIE;99-314;024;;;;;;     0 ;     0 
W£OCIN;£”DZKIE;98-287;043;;;;;;     0 ;     0 
W£OCIN KOLONIA;£”DZKIE;98-287;043;;;;;;     0 ;     0 
W£ODZIMIERZ”W;£”DZKIE;97-325;044;;;;;;     0 ;     0 
W£ODZIMIERZ”W;£”DZKIE;97-332;044;;;;;;     0 ;     0 
W£YNICE;£”DZKIE;97-540;044;;;;;;     0 ;     0 
W£Y—;£”DZKIE;98-290;043;;;;;;     0 ;     0 
WODZIERADY;£”DZKIE;98-105;043;;;;;;     0 ;     0 
WODZIERADY;£”DZKIE;98-106;043;;;;;;     0 ;     0 
WODZIN MAJORACKI;£”DZKIE;97-307;044;;;;;;     0 ;     0 
WOJCIECH”W;£”DZKIE;97-545;044;;;;;;     0 ;     0 
WOJEWODZA;£”DZKIE;99-423;042;;;;;;     0 ;     0 
WOJK”W;£”DZKIE;98-287;043;;;;;;     0 ;     0 
WOJNOWICE;£”DZKIE;97-540;044;;;;;;     0 ;     0 
WOJS£AWICE;£”DZKIE;98-220;043;;;;;;     0 ;     0 
WOJSZYCE;£”DZKIE;99-311;024;;;;;;     0 ;     0 
WOLA BACHORSKA;£”DZKIE;98-113;043;;;;;;     0 ;     0 
WOLA BA£UCKA;£”DZKIE;98-103;043;;;;;;     0 ;     0 
WOLA B DKOWSKA;£”DZKIE;98-208;043;;;;;;     0 ;     0 
WOLA B DKOWSKA;£”DZKIE;98-260;043;;;;;;     0 ;     0 
WOLA BLAKOWA;£”DZKIE;97-565;044;;;;;;     0 ;     0 
WOLA B£ DOWA;£”DZKIE;95-010;042;;;;;;     0 ;     0 
WOLA BRANICKA;£”DZKIE;95-001;042;;;;;;     0 ;     0 
WOLA BRZEèNIOWSKA;£”DZKIE;98-275;043;;;;;;     0 ;     0 
WOLA BUCZKOWSKA;£”DZKIE;98-113;043;;;;;;     0 ;     0 
WOLA CHOJNATA;£”DZKIE;96-230;042;;;;;;     0 ;     0 
WOLA CHRUåCI—SKA;£”DZKIE;99-306;024;;;;;;     0 ;     0 
WOLA CYRUSOWA;£”DZKIE;96-132;042;;;;;;     0 ;     0 
WOLA CZARNYSKA;£”DZKIE;98-106;043;;;;;;     0 ;     0 
WOLA D•BROWA;£”DZKIE;99-220;043;;;;;;     0 ;     0 
WOLA DRZEWIECKA;£”DZKIE;96-127;042;;;;;;     0 ;     0 
WOLA DZIERLI—SKA;£”DZKIE;98-291;043;;;;;;     0 ;     0 
WOLA FLASZCZYNA;£”DZKIE;99-232;043;;;;;;     0 ;     0 
WOLA GOS£AWSKA;£”DZKIE;99-425;042;;;;;;     0 ;     0 
WOLA GRZYMALINA;£”DZKIE;97-410;044;;;;;;     0 ;     0 
WOLA GRZYMKOWA;£”DZKIE;95-070;042;;;;;;     0 ;     0 
WOLA JEDLI—SKA;£”DZKIE;97-562;044;;;;;;     0 ;     0 
WOLA KA£KOWA;£”DZKIE;99-313;024;;;;;;     0 ;     0 
WOLA KAMOCKA;£”DZKIE;97-306;044;;;;;;     0 ;     0 
WOLA KLESZCZOWA;£”DZKIE;98-170;043;;;;;;     0 ;     0 
WOLA KOTKOWSKA;£”DZKIE;97-350;044;;;;;;     0 ;     0 
WOLA KROKOCKA;£”DZKIE;98-240;043;;;;;;     0 ;     0 
WOLA KRZYSZTOPORSKA;£”DZKIE;97-371;044;;;;;;     0 ;     0 
WOLA KUTOWA;£”DZKIE;95-004;042;;;;;;     0 ;     0 
WOLA KUØNIEWSKA;£”DZKIE;97-525;044;;;;;;     0 ;     0 
WOLA £OKOTOWA;£”DZKIE;96-134;042;;;;;;     0 ;     0 
WOLA MAKOWSKA;£”DZKIE;96-124;042;;;;;;     0 ;     0 
WOLA MALOWANA;£”DZKIE;97-512;044;;;;;;     0 ;     0 
